Sku,Quantity
0032689-S,614
0032690-F,21
0032690-S,138
0032795-S,220
0032798-S,163
0032815-S,1122
0032818-S,152
0032820-S,167
0032822-S,995
0032823-S,289
0032830-S,66
0032833-S,939
0032843-S,151
0032856-S,425
0032856-X,952
0032922-F,118
0032922-S,567
0032923-S,56
0032925-S,123
0032928-S,53
0032932-F,35
0032932-S,121
0032947-F,91
0032947-S,492
0032950-S,378
0032952-F,1488
0032952-S,2193
0032955-F,1029
0032955-S,1389
0032958-S,62
0032959-S,99
0033008-S,93
0033017-S,142
0033108-S,42
0033110-F,181
0033110-S,299
0033189-S,258
0033245-F,8
0033245-S,91
0033247-F,34
0033247-S,485
0033249-S,60
0033251-S,78
0033420-S,91
0033432-S,190
0033457-S,96
0033459-S,53
0033501-S,169
0033633-S,128
0033773-S,121
0034085-S,569
0034286-F,11
0034298-F,38
0034298-S,282
0034299-F,47
0034299-S,280
0034303-F,72
0034303-S,506
0034304-S,201
0034309-F,61
0034309-S,148
0034311-F,166
0034311-S,933
0034314-F,11
0034555-F,121
0034555-S,699
0034565-S,207
0034567-F,64
0034567-S,157
0034568-S,167
0034580-F,20
0034580-S,526
0034900-F,44
0035006-S,154
0035042-X,752
0035046-X,76
0035073-X,145
0035085-X,76
0035086-X,83
0035087-X,326
0035088-X,94
0035089-X,77
0035091-X,75
0035092-X,45
0035250-S,80
0035319-F,155
0035320-F,274
0035321-F,46
0035322-F,68
0035344-F,48
0035345-F,50
0035348-F,60
0035351-F,195
0035352-F,86
0035353-F,57
0035354-F,59
0035376-F,72
0035382-F,299
0035384-F,28
0035387-F,49
0035389-F,266
0035391-F,72
0035392-F,215
0035393-F,202
0035397-F,77
0035398-F,118
0035402-F,158
0035403-F,352
0035405-F,48
0035407-F,628
0035413-F,256
0035415-F,380
0035420-F,347
0035422-F,185
0035423-F,95
0035429-F,82
0035430-F,108
0035433-F,248
0035434-F,209
0035436-F,50
0035439-F,114
0035440-F,30
0035449-F,180
0035453-F,58
0035454-F,209
0035467-F,26
0035469-F,464
0035470-F,56
0035477-F,220
0035478-F,215
0035490-F,68
0035491-F,378
