Model,MSE,RMSE,MAE,R2,SKU,Percent Change,Difference
Linear Smoothing,3.222432262024052,1.795113439876169,1.44927536110269,-6.518476608508017e-05,0024407-S,,
Second Degree Approximation,0.30921223382208457,0.5560685513694194,0.46790540086194227,-0.03909692528584241,0024640-S,,
Linear Regression,1.4079598034299028,1.1865748199881467,0.7267410951621478,0.014039198426849975,0024656-S,,
Linear Smoothing,2.138522329189814,1.4623687391317601,1.0074938828042135,-0.008829220303852026,0024900-S,,
Exponential Smoothing w/ Trend & Seasonality,1.5845602457340822,1.2587931703556714,0.8319033313238791,0.061001335861284645,0024902-S,,
Exponential Smoothing w/ Trend & Seasonality,40.49182497442928,6.363318707595061,4.224957291106574,-0.16733189115471792,0024925-S,,
Linear Smoothing,5.865918802715675,2.42196589627428,2.1089743587568965,-0.07056185492327116,0025000-S,,
Weighted Moving Average,19.52066115702479,4.418219229171951,2.7933884297520666,-0.04420866489831976,0025138-S,,
Weighted Moving Average,5.594444444444443,2.3652577966142387,1.3666666666666667,-0.0007950705625123788,0025147-S,,
Linear Smoothing,2.8438068178392286,1.6863590417936594,1.2568181815644122,-0.012060661642784076,0025150-S,,
Moving Average,12.25138888888889,3.500198407074789,2.338888888888889,-0.00020410014513805308,0025161-S,,
Linear Smoothing,6.242817325254702,2.4985630520870794,1.8256144246229167,-0.0033099272730767737,0025525-S,,
Linear Smoothing,0.16562499969760838,0.40697051453097727,0.2750000012095666,-0.035156248110052246,0026518-S,,
Exponential Smoothing w/ Trend & Seasonality,0.3038348934121345,0.5512122036132133,0.36406006595007995,0.080283565887593,0026522-S,,
Second Degree Approximation,1.1757257209500904,1.0843088678739514,0.8808969862795449,-0.039097043897786454,0026525-S,,
Linear Smoothing,0.6799431707891559,0.8245866666331416,0.7301587307676443,-0.002021514847177164,0026533-F,,
Linear Smoothing,1.8456869962050286,1.3585606339817993,0.9416322176914721,-0.01196545586319342,0026533-S,,
Linear Smoothing,0.49734443089810026,0.705226510348342,0.4620689664874635,-0.017295426837023342,0026538-S,,
Weighted Moving Average,0.10620915032679736,0.3258974536979345,0.24509803921568618,-0.023148148148147918,0026541-S,,
Linear Regression,0.42775359473073965,0.6540287415173278,0.43463489256275256,-0.0005585814462976124,0026542-S,,
Weighted Moving Average,0.779519796899476,0.8829041833061366,0.6515151515151516,-0.0012498724619935953,0026543-S,,
Moving Average,0.3164682539682539,0.5625551119386027,0.5595238095238094,-1.5844907407407391,0026549-F,,
Linear Regression,0.978117414946246,0.9889981875343584,0.6600306146825704,0.0007881118596803072,0026549-S,,
Linear Smoothing,0.16800553789496558,0.40988478612283913,0.37368420291098314,-0.05003461184353464,0026575-S,,
Linear Regression,0.48865299597449885,0.6990371921253539,0.49696931036691905,0.002075738178660136,0026592-S,,
Weighted Moving Average,0.16620752984389348,0.4076855771840518,0.27272727272727265,-0.03879706152433404,0026593-S,,
Moving Average,0.5098684210526315,0.7140507132218492,0.4342105263157895,-0.00033967391304345895,0026598-S,,
Least Squares Regression,0.5237353076638217,0.7236955904686871,0.40370326161558867,-0.005571790714537617,0026605-S,,
Linear Smoothing,0.08526274632232289,0.2919978532837577,0.2600806429750163,-0.4551508705676439,0026606-S,,
Second Degree Approximation,2.684565691315407,1.638464430897237,1.1740637236326892,0.0010918357896160247,0026610-F,,
Exponential Smoothing w/ Trend & Seasonality,0.25928603775343,0.5092013724975906,0.3030986135890548,0.19237200833098278,0026610-S,,
Second Degree Approximation,0.08202643456188698,0.2864025742934008,0.217257852302782,0.08859517153458907,0026614-S,,
Weighted Moving Average,0.3497048406139315,0.5913584704846389,0.4077922077922077,-0.005606642610483492,0026643-S,,
Moving Average,0.2542562724014336,0.5042383091370921,0.45967741935483863,-0.6735635464231347,0026645-S,,
Moving Average,0.1736111111111111,0.4166666666666667,0.3611111111111111,-0.0044642857142858094,0026660-F,,
Second Degree Approximation,0.489243398357696,0.6994593614769167,0.506962888864767,-0.0014437689269528597,0026660-S,,
Moving Average,0.6101190476190477,0.7811011763011547,0.4880952380952381,-0.011513157894736947,0026667-S,,
Moving Average,0.0,0.0,0.0,1.0,0026678-X,,
Weighted Moving Average,1.712046468917505,1.3084519360364388,0.9133192389006343,-0.006221843937846971,0026784-S,,
Exponential Smoothing w/ Trend & Seasonality,550.6281807216355,23.46546783513245,13.610873257043437,-0.03066038406221616,0026785-S,,
Second Degree Approximation,4.6145966243373,2.1481612193541944,1.7456416961357808,-0.08790295478775123,0026803-S,,
Second Degree Approximation,2.0687551593940245,1.4383167799181182,1.1296804737778308,0.009975517135325185,0026817-F,,
Weighted Moving Average,0.7109733700642795,0.843192368362214,0.6983471074380169,-0.6543803418803429,0026817-S,,
Linear Smoothing,3.0816970762879166,1.7554763103750266,1.27069841705807,-0.00021581568028339326,0026818-S,,
Moving Average,0.6759259259259259,0.8221471437193746,0.7314814814814815,-0.004587155963303058,0026830-S,,
Moving Average,0.38333333333333336,0.6191391873668903,0.5666666666666667,-0.02678571428571419,0026832-S,,
Linear Smoothing,4.128400018338553,2.0318464554041857,1.2568000207836922,-0.022286058423770294,0026833-S,,
Moving Average,0.9043803418803419,0.9509891386763267,0.7756410256410257,-0.005528143274853958,0026858-S,,
Weighted Moving Average,0.3801169590643275,0.6165362593265116,0.4736842105263157,-0.007340946166394913,0026859-S,,
Weighted Moving Average,0.86741148862361,0.9313492839013782,0.8804713804713805,-0.0017314458718598047,0027201-X,,
Linear Smoothing,1.6371369313428494,1.2795065186793109,1.1936620417505268,-0.18237667263650237,0027443-S,,
Linear Smoothing,3.5463988840832137,1.8831884887294776,1.6606648134944237,-0.024199997723232114,0027445-S,,
Linear Smoothing,5.201242545682711,2.2806232800887374,1.7512617269729205,-0.08409270149622339,0027451-S,,
Linear Smoothing,15.062499999665496,3.881043674021911,2.3734567901131642,-0.27621600415575864,0027453-S,,
Linear Smoothing,3.2900390613691357,1.8138464823047005,1.25,-0.12001329748736533,0027454-S,,
Moving Average,0.22222222222222224,0.4714045207910317,0.44444444444444436,0.0,0027463-S,,
