SKU,Model,MSE,RMSE,MAE,R2
0010073-A,Random Forest,0.49985255174927107,0.7070025118408498,0.34020294784580496,0.1456008708471761
0010074-A,Linear Regression,0.6280506293506043,0.7924964538410278,0.57700205749528,0.04595725686031715
0010080-A,Elastic Net,76.27390946422075,8.733493542919737,7.938773642308521,0.009429747217912232
0010085-A,Random Forest,0.32190496293204524,0.5673666917717722,0.3188452380952381,0.07215628331351687
0010088-A,Random Forest,0.8946570762866737,0.9458631382428822,0.5127701554717684,0.12625462366718154
0010089-A,Random Forest,1.1272329390863876,1.0617122675595245,0.5178748079877111,0.19757714484294964
0010095-A,Elastic Net,0.5081273526961569,0.7128305217203855,0.47442523390937985,0.003671857458515837
0010099-A,Decision Tree,1.1427586206896552,1.068998887132094,0.4862068965517241,0.1950921273031826
0010108-S,CatBoost,4.97765206408574,2.2310652308002425,2.104329423028876,0.6690390914836608
0010112-A,Gradient Boosting,0.1405171790705395,0.3748562111937583,0.25449803389794834,0.14365980001214673
0010113-S,Linear Regression,84.08925118325308,9.17001914846709,6.576925418569254,0.4087474526177518
0010123-A,SVR,1.0617258026866079,1.0304007971108173,0.6462528513076412,0.028586973060593324
0010129-S,Random Forest,4.848713529214061,2.2019794570372495,1.3591934072871572,0.07367860934417936
0010134-A,Linear Regression,0.31211890556041155,0.5586760291621715,0.425938753639645,0.023283080013539625
0010137-A,Linear Regression,0.47662408672949264,0.6903796685371699,0.5238412819181079,0.022735884186427358
0010154-A,Random Forest,0.6373481095482175,0.7983408479767383,0.37172172619047616,0.051388860207304154
0020326-S,SVR,17.19987603505963,4.147273325337942,2.0690426485946296,0.09558834787645354
0020344-S,Linear Regression,7.012417109177335,2.648096884401576,1.7628470616810357,0.3722995278331729
0020350-S,SVR,5.874338150940527,2.4237033958264216,1.7758797069162569,0.053927462954524885
0020351-S,Linear Regression,4.691010415860513,2.1658740535544796,1.6607159341927396,0.1455036788952968
0020369-S,Linear Regression,70.51844365778598,8.39752604388852,5.881869279401297,0.5110520645702046
0020376-F,Linear Regression,13.573866213151927,3.684272820130443,2.5666666666666664,0.18426284776731194
0020376-S,Ridge,162.1028185023222,12.731960512910893,9.091519234035704,0.025030269471071342
0020378-S,Random Forest,21.816308825142844,4.670793168739421,2.7662551535765827,0.13441365794979787
0020389-S,Random Forest,5.72673485129171,2.3930597258095565,1.6953747165532882,0.018846126876594926
0020466-S,SVR,7.618071142584818,2.760085350597843,2.023985674798109,0.006594117980837977
0020956-S,Elastic Net,63.0631833735154,7.941233114165293,5.056595099268932,0.02318489198396234
0020962-S,Random Forest,11.304596645225885,3.362230903020476,1.9624827355184498,0.5133536256392985
0020967-S,SVR,1.8661875928393528,1.3660847678088475,0.9661896019228481,0.23516901932813417
0020970-S,SVR,86.86227547174175,9.319993319297057,7.927596572858615,0.32223567827916855
0021004-F,Decision Tree,1.75,1.3228756555322954,0.75,0.09677419354838712
0021004-S,Gradient Boosting,9.775892205734253,3.1266423213623673,1.8908652256023066,0.20296386342599282
0021010-F,Ridge,3.7999590238023666,1.9493483587605287,1.1025089394475225,0.034931041574002175
0021010-S,Elastic Net,23.86942247789049,4.885634296372426,3.65550393536379,0.03908232521117372
0021072-F,Decision Tree,7.87037037037037,2.8054180384339107,1.8333333333333333,0.2772108843537413
0021072-S,Linear Regression,5.362946267784861,2.315803590070812,1.883135241172398,0.6613603516476054
0021410-S,SVR,48.52632207126506,6.966083696831747,5.648262326121375,0.21479739734434478
0021411-S,Linear Regression,0.6152515188856033,0.7843797032595905,0.41865126617448595,0.0275056636969494
0021414-S,Ridge,34.09756761979256,5.839312255719209,4.012001138928478,0.016609291718755026
0021416-S,Linear Regression,28.101588973931598,5.301093186686271,3.529619481970806,0.12350231717208882
0021427-S,Elastic Net,2.487937718258418,1.5773197894715003,1.2590266875981162,0.026709550033164886
0021444-F,Decision Tree,1.0444444444444443,1.021980647783726,0.7333333333333332,0.23202614379084996
0021444-S,Elastic Net,20.96449751196775,4.578700417363835,3.4707671957671957,0.2013186691173816
0021455-S,Linear Regression,8.46465820209076,2.9094085656866344,2.1626546540066176,0.007731454778834523
0021526-S,SVR,18.689409073541505,4.323124919955645,3.2104954243763855,0.01149105746430723
0021527-S,SVR,9.713229966951657,3.116605519945002,1.2338719272116476,0.03552534405709162
0021528-S,Gradient Boosting,47.34483870997061,6.8807585853574755,3.9874107568336106,0.014196861952305517
0021585-S,SVR,19.64469157752091,4.432233249448963,3.1777920911447852,0.1304471250390169
0021590-F,Random Forest,18.751155629535145,4.330260457470791,2.2478749999999996,0.11171431510714336
0022851-S,Gradient Boosting,197.04122314698046,14.037137284609724,5.121229425235929,0.031033952961633582
0022942-F,Decision Tree,16.294444444444444,4.036637764829097,2.0333333333333337,0.12583452551263707
0022960-F,SVR,1.0010894799660741,1.000544591692981,0.7418995813298235,0.12099460295661779
0023130-S,Elastic Net,23.376799099269338,4.834955956290536,3.3673469387755106,0.13615146616576335
0023160-S,SVR,16.3196934833134,4.039764038073685,2.498920675849133,0.07879301712355358
0023165-S,SVR,6.175676058887702,2.485090754658208,1.6082175742579863,0.2348319252551162
0023305-F,Decision Tree,0.8125,0.9013878188659973,0.625,0.3157894736842105
0023305-S,Lasso,32.37514880952381,5.689916414985707,4.691666666666666,0.14642506654056064
0023307-F,SVR,4.081603446609601,2.020297860863492,1.0613986365471388,0.07408069961171104
0023307-S,Gradient Boosting,2.430516422139355,1.5590113604907936,1.148678259004122,0.42186745298627004
0023328-F,SVR,0.10794765749250376,0.32855388826264675,0.17522647793764995,0.013049988639965648
0023328-S,Elastic Net,13.307638101536911,3.6479635554014123,3.1361111111111106,0.37175439092618445
0023330-S,Ridge,54.70513816509242,7.396292190354058,5.059739842375087,0.47097853363143305
0023490-S,Elastic Net,1.8960852859662387,1.3769841269841272,0.9155328798185941,0.08238835543362277
0023594-S,Gradient Boosting,1.9244714449630222,1.387253201460722,0.9333303581774672,0.09327787689242206
0023920-S,SVR,30.21371376681267,5.4967002616854295,4.556135826129219,0.03590206598514445
0023935-S,SVR,0.2743341399749182,0.5237691666897911,0.3438940149811498,0.22540948712964282
0023980-F,Random Forest,25.256430577144755,5.025577636167285,4.002190476190477,0.5831125626881195
0023984-S,Ridge,26.846524559446568,5.181363195091285,3.1632614688401257,0.2533414059486432
0024134-S,Ridge,18.86802013715555,4.343733433022283,2.2820418055565423,0.04928580704254981
0024319-F,SVR,0.43385737896798826,0.6586785095689613,0.27685778033936753,0.1772778591421852
0024319-S,Decision Tree,10.75,3.278719262151,2.4,0.13306451612903225
0024328-S,Lasso,25.351151660201904,5.034992716995915,4.26599342377594,0.05003444998356499
0024330-S,Linear Regression,1.2225450880950495,1.105687608728184,0.8957328385899821,0.025423962792153976
0024332-F,SVR,0.4045736871709323,0.6360610718877019,0.28424721033319933,0.2328084154388247
0024340-F,SVR,0.4060054705253682,0.6371855856227197,0.2848130319200638,0.23009332996670928
0024340-S,Decision Tree,127.32916666666664,11.284022627887035,6.550000000000001,0.06428170451645854
0024346-S,Elastic Net,12.051770443939981,3.4715659930267755,2.9876875082968266,0.27204071143986686
0024380-S,SVR,43.85811273564212,6.622545789622154,3.3169325845206212,0.10021823138161201
0024383-S,Linear Regression,43.21231988060317,6.573607828324045,4.005716335618307,0.245931402956028
0024395-S,Linear Regression,8.913312066124337,2.985517051722254,2.094840698667982,0.3305112270333277
0024404-S,Decision Tree,5.0,2.23606797749979,1.5,0.4117647058823529
0024407-S,Ridge,3.1519387925118183,1.7753700438251792,1.3157453624754025,0.01719989679982059
0024640-S,Linear Regression,6.29362065948832,2.508708962691432,2.0847120108140187,0.21579806150050174
0024656-S,Elastic Net,28.553418865583225,5.343539918966005,4.328126456993835,0.1699587539074644
0024900-S,Elastic Net,56.69756634475437,7.5297786384962455,6.096791947747417,0.25424106000410795
0024902-F,Decision Tree,0.04276315789473684,0.2067925479671278,0.06578947368421052,0.14236111111111116
0024925-S,Ridge,106.34649652102254,10.312443770562947,4.365844757552678,0.000525085527037672
0025000-S,SVR,19.67476442024883,4.435624467901767,2.843184252102935,0.12088386453097921
0025138-S,SVR,4.066310776167773,2.016509552709278,1.5926831090675977,0.021073331663313932
0025147-S,Elastic Net,18.072314342403626,4.251154471717491,3.344387755102041,0.1240915897351359
