Model,MSE,RMSE,MAE,R2,SKU,Percent Change,Difference
Exponential Smoothing w/ Trend & Seasonality,2.447895871933332,1.5645753008191494,1.22221533413801,0.00983987202696679,0032636-S,,
Linear Regression,1.1794362932551694,1.086018551064009,0.8505630235729593,0.0023565188631089473,0032922-F,,
Least Squares Regression,13.12560881315759,3.622928209771426,3.1886200716845874,0.0007760208028526616,0032925-S,,
Exponential Smoothing w/ Trend & Seasonality,0.583352166041681,0.7637749446281156,0.6666811442973147,0.5333182671666552,0032947-F,,
Second Degree Approximation,0.335993019049881,0.5796490481747391,0.39408174753206204,0.01704976819718762,0032947-S,,
Linear Regression,22.94141050073371,4.7897192507216655,3.65972079391197,0.013969715242111436,0033189-S,,
Exponential Smoothing w/ Trend & Seasonality,0.30111481200807616,0.5487392932969865,0.4938394268789379,0.3581500059827851,0033245-S,,
Linear Regression,3.4416533950708907,1.8551693709930883,0.9617173004140956,0.004261278631190302,0034555-S,,
Least Squares Regression,1.0958042824973129,1.046806707323426,0.8823529411764707,0.013776145752418367,0034567-S,,
Exponential Smoothing w/ Trend & Seasonality,9.128706307438652,3.021374903489908,1.6075677601678071,0.004992562004711876,0034580-S,,
Linear Regression,7.770900461516758,2.7876334876587987,1.793489187609585,0.008813716643270686,0035006-S,,
Linear Regression,0.5274129050706127,0.7262319912194812,0.5432925114262275,0.00016510887087650694,0035320-F,,
Exponential Smoothing w/ Trend & Seasonality,0.7765961520933854,0.881246930260404,0.6263389233770962,0.13526256684080085,0035351-F,,
Exponential Smoothing w/ Trend & Seasonality,0.29969348774543675,0.5474426798719997,0.4749966849547168,0.03705043281794118,0035352-F,,
Second Degree Approximation,0.1076429536302441,0.32808985603069796,0.16963736865214699,0.12091587868634013,0035387-F,,
Exponential Smoothing w/ Trend & Seasonality,1.6596511140359729,1.2882744715455525,0.9660099360567708,0.010188600441058071,0035389-F,,
Second Degree Approximation,0.7006974692714296,0.8370767403717712,0.6702799196574383,0.0019134885377890543,0035433-F,,
Second Degree Approximation,1.1329085972352735,1.0643817911047113,0.610586358399723,0.023120730527668276,0035449-F,,
Second Degree Approximation,2.140779618256785,1.4631403276025117,1.0807903234313738,0.011155525167675817,0035478-F,,
Exponential Smoothing w/ Trend & Seasonality,0.24500959713206752,0.4949844413030247,0.3488985227206447,0.19815040938596074,0035490-F,,
Least Squares Regression,1.0234352232153496,1.011649753232486,0.7528707266079218,0.009490306754045164,0035491-F,,
Second Degree Approximation,0.34818031891775386,0.5900680629535493,0.3720286449614201,0.004162837857257684,0035532-F,,
Second Degree Approximation,6.779272006570467,2.603703517409474,1.8065011395930448,0.023356511036008554,0035552-F,,
Exponential Smoothing w/ Trend & Seasonality,0.6381221580537153,0.7988254866075039,0.6495932296900873,0.04015792059420342,0035554-F,,
Least Squares Regression,0.6111843431931311,0.7817827979644545,0.6579552329098608,0.045024463760732436,0035581-F,,
Exponential Smoothing w/ Trend & Seasonality,3.6029658026952185,1.8981479928328082,1.3714532858685755,0.1128375661705242,0035702-S,,
Linear Regression,8.485530766331632,2.9129934373993414,2.391228612657184,0.005284670932416469,0035896-S,,
Second Degree Approximation,3.6889572885142234,1.9206658450949305,1.5000602070712166,0.000257204099782804,0035950-S,,
Second Degree Approximation,0.721459509132976,0.8493877260315079,0.6113941233314194,0.00799317494215801,0036007-F,,
Second Degree Approximation,1.8803487252258007,1.371258081188877,0.8352137979131654,0.023851572605704696,0036036-S,,
Second Degree Approximation,0.40712821476690525,0.6380659956202848,0.5464896986167554,0.014749720264089161,0036117-S,,
Exponential Smoothing w/ Trend & Seasonality,3.223924462641668,1.795529020272763,1.0334315827195002,0.019178581499918357,0036141-S,,
Exponential Smoothing w/ Trend & Seasonality,1.18855253934009,1.0902075670899052,0.6857085036833287,0.11758978139902398,0036691-F,,
Exponential Smoothing w/ Trend & Seasonality,3.8209006053583368,1.9547124098849775,1.5871615880831578,0.07174324557842537,0036991-S,,
Linear Regression,1.3919553622967191,1.1798115791501282,0.9524999450150531,0.0012446268559958007,0037103-S,,
Linear Regression,0.28630209843610455,0.5350720497616228,0.27318680669092593,0.007727663901196946,0037620-S,,
Second Degree Approximation,14.414697949817846,3.796669323211839,3.153069437267542,0.0016049370822887044,0037721-S,,
Least Squares Regression,2.169319135789831,1.4728608677637651,1.1138832811230999,0.0037637664443438412,0038301-S,,
Linear Regression,9.198423297533969,3.0328902547790895,1.98695652173913,0.004828734151096081,0038500-S,,
Second Degree Approximation,14.490173449369022,3.806596044942124,2.4205344497047787,0.018989516086920122,0038965-S,,
Second Degree Approximation,12.55388558843678,3.543146283804379,2.919005801993464,0.06701553894203349,0039108-S,,
Exponential Smoothing w/ Trend & Seasonality,12.343824106020156,3.5133778769184727,1.981278469284703,0.011703434265800006,0039250-S,,
Exponential Smoothing w/ Trend & Seasonality,2.23054878138315,1.4935021866013956,1.1468769643892238,0.05019272101149741,0039445-S,,
Exponential Smoothing w/ Trend & Seasonality,1.3711065616590252,1.1709425953730717,0.8608005466677906,0.33638442415703196,0039484-S,,
Exponential Smoothing w/ Trend & Seasonality,4.0333666761456906,2.008324345355025,1.4333329375266959,0.25857230217910077,0039578-S,,
Exponential Smoothing w/ Trend & Seasonality,3.8776658978841176,1.9691789908193003,1.1821639713273526,0.02902997348654912,0040013-X,,
Second Degree Approximation,0.22999561080455563,0.4795785762568587,0.43300565374330835,0.015429748268169341,0040299-X,,
Exponential Smoothing w/ Trend & Seasonality,0.16794053445201773,0.409805483677339,0.32809917911218206,0.10431714958923877,0040437-S,,
Second Degree Approximation,3.1925586585389376,1.7867732532526162,0.8857080847151539,0.0015453765319975998,0040643-S,,
Least Squares Regression,0.30673217697105176,0.5538340698901177,0.4208083146121038,0.0002484007151392076,0040644-S,,
Second Degree Approximation,0.7130220884707098,0.8444063526944298,0.6180648096197147,0.013889000825294873,0040861-S,,
Second Degree Approximation,0.5943800191483396,0.7709604523893165,0.5598934361899044,9.72607572093942e-05,0040862-S,,
Second Degree Approximation,0.9038770486655218,0.9507244862027704,0.7516839119774701,0.013342132521051542,0040875-S,,
Linear Regression,3.114879381119259,1.7649020882528468,0.6192895923072467,0.0021626919371542375,0040884-S,,
Second Degree Approximation,1.978251801777954,1.4065033955799588,0.7482500336809454,0.02293661009747383,0040912-S,,
Exponential Smoothing w/ Trend & Seasonality,0.7259590491559191,0.8520323052302179,0.6168210892333548,0.02190132771067299,0040913-S,,
Second Degree Approximation,1.9277276955160678,1.3884263378069677,0.6915273917881738,0.0006504202903648837,0040915-S,,
Second Degree Approximation,1.2861565807087723,1.1340884360175676,0.7804595357625197,0.0019356324608631459,0040941-S,,
Exponential Smoothing w/ Trend & Seasonality,0.7972153558124523,0.8928691706025313,0.44536234128198043,0.004462597544548141,0041045-S,,
Least Squares Regression,1.0393756520412172,1.0194977449907465,0.8661047387324757,0.0006003345757525924,0041064-S,,
Linear Regression,0.7093240541146605,0.8422137817173622,0.6293000477783083,0.05204024322495482,0041072-S,,
Second Degree Approximation,1.7305344046409379,1.3154977782729007,0.9798742612660336,0.05941229811447957,0041079-S,,
Second Degree Approximation,1.0799214986861374,1.0391927148927371,0.7807234339103856,0.0016492708262716427,0041138-S,,
Least Squares Regression,0.20937722042203621,0.45757755672895084,0.3211828892979621,0.013262263029240162,0041151-S,,
Second Degree Approximation,4.172232136342048,2.042604253481826,1.3235522478806827,0.0034505661360296758,0041153-S,,
Second Degree Approximation,0.4186374151091392,0.6470219587534408,0.4606969479101241,0.0022746429791914435,0041156-S,,
Exponential Smoothing w/ Trend & Seasonality,1.067237458115965,1.0330718552530433,0.6733307569468834,0.04526432488925325,0041217-S,,
Second Degree Approximation,3.2115332839063173,1.7920751334434384,0.9528842222736726,0.008230527036519164,0041221-S,,
Exponential Smoothing w/ Trend & Seasonality,0.2748187397805567,0.5242315707591033,0.28698113969063044,0.11111259286288822,0041222-S,,
Second Degree Approximation,52.297596813568234,7.231707738395422,4.369726345626437,0.008214940493206035,0043121-X,,
Linear Regression,0.30959079077018964,0.5564088341949557,0.39084317937701396,0.005249262443325131,0049037-A,,
Linear Regression,0.43722176008639896,0.661227464709686,0.5647435897435897,0.006314181621820625,0049152-A,,
Exponential Smoothing w/ Trend & Seasonality,0.7204680129825116,0.8488038719177191,0.6336479937465354,0.36583805107268497,0050514-A,,
Least Squares Regression,0.08102406680007466,0.28464726733287754,0.1524703317102632,0.019608791719096463,0050518-A,,
Exponential Smoothing w/ Trend & Seasonality,0.4132842134045776,0.642871848352825,0.5204054559189388,0.4937268385793925,0051024-A,,
Exponential Smoothing w/ Trend & Seasonality,0.39634250013107153,0.6295573843035054,0.49572960848192704,0.15516467077324236,0051112-A,,
Exponential Smoothing w/ Trend & Seasonality,0.39042703424804964,0.6248416073278489,0.38888142081132204,0.6095729657519504,0051114-A,,
Exponential Smoothing w/ Trend & Seasonality,0.5584324653290039,0.7472833902402782,0.36785628911173224,0.06450629739756586,0051156-A,,
Second Degree Approximation,0.4758330034994478,0.6898064971420955,0.3088396230587105,0.017635089549527083,0051165-A,,
Exponential Smoothing w/ Trend & Seasonality,0.13673432278782954,0.3697760440967337,0.2708308754471469,0.10246188118758048,0051171-A,,
Linear Regression,0.061686785042165605,0.24836824483449088,0.12267987326586474,0.00860524039376731,0051307-A,,
Second Degree Approximation,0.050804823023325056,0.22539925249060844,0.04982921574519483,0.0033147646847605516,0056114-A,,
Exponential Smoothing w/ Trend & Seasonality,0.049408499085951484,0.22228022648438947,0.08091875862774427,0.03371092501903439,0056505-A,,
Linear Regression,1.3472835898962023,1.1607254584509648,0.986040326040326,0.009350301546910189,0056573-A,,
Second Degree Approximation,0.8594597070903334,0.9270704973680984,0.5932401461813228,0.03310782952337521,0056846-A,,
Exponential Smoothing w/ Trend & Seasonality,0.055554664622548156,0.23570037043362524,0.10002105600848676,0.38272594863835374,0057001-A,,
Exponential Smoothing w/ Trend & Seasonality,1.2857136640832576,1.1338931449141305,0.7666662004114674,0.17582457430560428,0057165-A,,
Linear Regression,0.022158835644802886,0.14885844163097667,0.04233660522510987,0.00233707422468854,0059059-A,,
Exponential Smoothing w/ Trend & Seasonality,0.0334884555768009,0.18299851249887497,0.16078981957471125,0.7265109461227927,0059188-A,,
Linear Regression,0.6950180297391498,0.8336774134754701,0.5073858488234809,0.06558687112847639,0059209-A,,
Second Degree Approximation,0.014881875728372615,0.1219912936580829,0.04474060946724573,0.017563672619151482,0059322-A,,
Second Degree Approximation,0.1668077123765504,0.4084209989417175,0.16115524931721095,0.012313000828180876,0059472-A,,
Exponential Smoothing w/ Trend & Seasonality,0.042492504809231064,0.20613710197155452,0.06253334232369247,0.2747945845891232,0059482-A,,
Second Degree Approximation,0.5007765047729626,0.7076556399640737,0.39469552064702984,0.017498270526959403,0059506-A,,
Second Degree Approximation,0.1610403904254258,0.40129838079093444,0.2994398190975433,0.14111791773106241,0059514-A,,
Second Degree Approximation,0.2088947659349741,0.45705006939609377,0.4383829938177764,0.059973553292616555,0059560-A,,
Exponential Smoothing w/ Trend & Seasonality,0.7091424413567655,0.8421059561342418,0.7639620403200158,0.08773635684757808,0060737-S,,
Exponential Smoothing w/ Trend & Seasonality,0.689597055835959,0.8304198069867789,0.7222223583832994,0.07194414915534508,0062223-S,,
Exponential Smoothing w/ Trend & Seasonality,0.31667787504546385,0.5627413926889188,0.4946333853334572,0.1833044275143303,0062927-S,,
Second Degree Approximation,0.6292199645949293,0.7932338650076214,0.7055089612006563,0.030311698398225007,0062996-S,,
Linear Regression,0.7607569327003048,0.872213811344618,0.7912960579627246,0.006107878246376153,0063005-S,,
Second Degree Approximation,0.10984566486705534,0.33142972839963425,0.2559288537549406,0.20911121295720148,0063006-S,,
Exponential Smoothing w/ Trend & Seasonality,0.2746742951692732,0.5240937847077307,0.46294986272756256,0.3819828358691353,0063025-F,,
Least Squares Regression,0.8162010785729714,0.9034384752560473,0.85952771913363,0.00015367874811011983,0063138-S,,
Exponential Smoothing w/ Trend & Seasonality,0.15694623870861152,0.39616440868484326,0.31665579985751036,0.25263695853042145,0063149-F,,
Linear Regression,0.7594779582293628,0.8714803257844452,0.7245038450800741,0.008344676822802155,0063157-S,,
Second Degree Approximation,0.5548914649439881,0.7449103737658566,0.6436952457217816,0.009122384028592556,0063159-S,,
Exponential Smoothing w/ Trend & Seasonality,0.03697209411974461,0.19228128905263925,0.0978063153188286,0.037185048964984424,0063164-S,,
Second Degree Approximation,0.3282461726502473,0.5729277202669175,0.30442341579423954,0.07318727722283125,0063216-S,,
Exponential Smoothing w/ Trend & Seasonality,0.2925567131168728,0.5408851200734522,0.41122641284141115,0.31924303293958434,0063404-F,,
Exponential Smoothing w/ Trend & Seasonality,0.6153481981920937,0.7844413287124116,0.6716035282879615,0.046063080314648785,0066166-S,,
Exponential Smoothing w/ Trend & Seasonality,2.1624141669691364,1.4705149325896478,1.0601848809015741,0.06208542155555541,0066696-S,,
Second Degree Approximation,0.29517209196473365,0.5432974249568404,0.34598640157346944,0.10710442180668045,0066702-F,,
Second Degree Approximation,3.4905701282054222,1.868306754311353,1.5142422804899083,0.12735746794864444,0066721-S,,
Linear Regression,0.1786336118431661,0.42265069719943216,0.20050615717782114,0.019693593543601007,0066855-S,,
Second Degree Approximation,0.185566197450465,0.43077395168517907,0.38209518512633084,0.010313613597520033,0067577-S,,
Exponential Smoothing w/ Trend & Seasonality,0.3980253251131168,0.6308924830057153,0.45841877504398365,0.029206524114349208,0067623-S,,
