SKU,Model,MSE,RMSE,MAE,R2,Percent Change,Difference
0066702-S,SVR,11.002778952416184,3.317043706738906,2.5715874070038884,0.0923633524101128,,
0066721-S,Second Degree Approximation,3.4905701282054222,1.868306754311353,1.5142422804899085,0.1273574679486444,,
0066753-F,XGBoost,6.83190583154721,2.6137914667293582,1.61454772700381,0.0556328872159365,,
0066753-S,XGBoost,2.163126379625325,1.4707570770271088,0.8270302132004872,0.5256301799067269,,
0066754-S,Elastic Net,6.5690661848648775,2.563018959130985,1.5453918300906904,0.0988935274533776,,
0066793-S,Elastic Net,2.445518392542203,1.5638153319820736,1.4156084656084655,0.0243942582943339,,
0066800-F,Random Forest,1.4396136224489795,1.1998389985531308,0.7041809523809525,0.1481576198526748,,
0066813-S,SVR,1.064243248973144,1.0316216598022474,0.782352372543313,0.0823616883854013,,
0066831-S,Random Forest,2.091103402134286,1.4460647987328528,0.9148165038665038,0.1687309797169359,,
0066850-S,Elastic Net,3.077517164273117,1.7542853713900477,1.4154761904761903,0.105372917362466,,
0066854-S,Ridge,3.4188900258551107,1.849024073898204,1.170328940729055,0.0907207378044919,,
0066855-S,Linear Regression,0.1786336118431661,0.4226506971994321,0.2005061571778211,0.019693593543601,,
0066871-F,Random Forest,0.4149449762342179,0.644162228195831,0.4645956790123456,0.5458034719598426,,
0066871-S,Lasso,3.650829081632653,1.9107142857142856,1.6166666666666665,0.1407567537998465,,
0066878-F,Random Forest,0.9267431618165786,0.9626750032158198,0.7348378684807256,0.1590663902034751,,
0066878-S,Linear Regression,4.075394529221386,2.018760641884368,1.706520238661288,0.0017758339356525,,
0066879-S,Elastic Net,3.5878643517677253,1.8941658722951709,1.3709344589435306,0.0092335368484547,,
0066885-S,Decision Tree,0.2788461538461538,0.5280588545286916,0.2692307692307692,0.158482142857143,,
0066892-S,Linear Regression,4.293834967231692,2.0721570807329477,1.5398032631337055,0.140215510115929,,
0066896-S,Elastic Net,9.489931346640756,3.0805732172179834,1.746678662468136,0.0384901693151749,,
0066897-S,Linear Regression,0.1482490417793366,0.3850312218240706,0.3647335003941886,0.1648637313097367,,
0066902-S,Elastic Net,17.22757621567145,4.1506115471905405,2.632275132275132,0.0333654243077116,,
0066931-S,Linear Regression,10.765598879681525,3.2810972066797293,1.632837400493888,0.0641972238207873,,
0067207-S,SVR,1.6768092999546715,1.2949167154511023,1.0352387771147546,0.3409749495526989,,
0067432-F,Random Forest,0.66785435388322,0.8172235641996748,0.3985547619047619,0.1754884519960249,,
0067432-S,Ridge,5.425354182379941,2.3292389706468377,1.9204411477162575,0.0005926506142214,,
0067434-S,Decision Tree,74.675,8.641469782392345,4.25,0.1886679704476316,,
0067459-F,Gradient Boosting,15.51121875683071,3.938428462830157,2.266658631637404,0.1678530709854768,,
0067568-F,Elastic Net,0.5980526536109175,0.7733386409658562,0.6714370195150798,0.0655427287329413,,
0067570-S,Linear Regression,0.4803137800227763,0.6930467372571466,0.6211660192778018,0.1034142772908174,,
0067571-F,SVR,0.1075606609609338,0.3279644202667933,0.2022976392480887,0.0165882426428906,,
