SKU,Model,MSE,RMSE,MAE,R2
0032204-F,XGBoost,1.00299645503521e-06,0.0010014971068531401,0.00085770620595819,0.9999954865159524
0032204-F,CatBoost,4.778977683914934e-05,0.006913015032469504,0.0064481864609737816,0.9997849460042239
0032690-F,Linear Regression,12.806702594454045,3.578645357457769,2.0124934549084093,-217.56772427868236
0032690-F,Ridge,12.035204490905723,3.469179224385175,1.9435361865161411,-204.40082331145769
0032690-F,Lasso,0.126235691987513,0.3552966253533982,0.344758064516129,-1.1544224765868885
0032690-F,Elastic Net,0.126235691987513,0.3552966253533982,0.344758064516129,-1.1544224765868885
0032690-F,SVR,0.06000000000000001,0.24494897427831783,0.15000000000000002,-0.024000000000000243
0032690-F,Decision Tree,5.0625,2.25,0.5625,-85.4
0032690-F,Random Forest,3.730156250000002,1.9313612427508227,0.5385416666666668,-62.66133333333337
0032690-F,Gradient Boosting,5.062210827678219,2.249935738566375,0.5624919673188853,-85.39506479237494
0032690-F,XGBoost,5.060309412686694,2.2495131501475365,0.56243938953412,-85.36261397651957
0032690-F,CatBoost,5.06201720898381,2.2498927105495077,0.5630130941731477,-85.39176036665702
0063405-S,Linear Regression,14.959094909162975,3.8676989165604625,2.072655039398635,-0.20707394079701236
0063405-S,Ridge,14.80339928239643,3.8475185876609395,2.052822710230316,-0.19451060491959682
0063405-S,Lasso,13.448979591836734,3.6672850437124103,2.2448979591836737,-0.08522025524907373
0063405-S,Elastic Net,13.234693877551022,3.637951879499098,2.1530612244897958,-0.06792918896665312
0063405-S,SVR,15.064999817704889,3.881365715531698,2.1916074669541166,-0.21561958183209473
0063405-S,Decision Tree,14.179642857142856,3.7655866551100448,2.2357142857142853,-0.14417867435158493
0063405-S,Random Forest,14.24205861801406,3.773865209306509,2.228756493506493,-0.14921510462361298
0063405-S,Gradient Boosting,14.186731329161365,3.7665277549968175,2.232873575428337,-0.14475065480264626
0063405-S,XGBoost,14.180772237429057,3.7657366128593033,2.23572384606814,-0.14426980590205662
0063405-S,CatBoost,14.179615763038267,3.765583057514237,2.2357103296385596,-0.14417648808377947
0059387-A,Linear Regression,0.07222042220517955,0.2687385759528757,0.0839699576703174,-0.041015094849434997
0059387-A,Ridge,0.07222154355380556,0.2687406622634646,0.08396736602915662,-0.0410312584332333
0059387-A,Lasso,0.07248520710059171,0.2692307692307692,0.09134615384615384,-0.044831814062583186
0059387-A,Elastic Net,0.07248520710059171,0.2692307692307692,0.09134615384615384,-0.044831814062583186
0059387-A,SVR,0.06823738153830117,0.261222857993517,0.14062272364101275,0.016398103952415588
0059387-A,Decision Tree,0.075,0.27386127875258304,0.075,-0.08108108108108114
0059387-A,Random Forest,0.075,0.27386127875258304,0.075,-0.08108108108108114
0059387-A,Gradient Boosting,0.07432087098088154,0.2726185448220307,0.07568289122377589,-0.0712918339586528
0059387-A,XGBoost,0.07498980648950286,0.2738426674013801,0.07505778941922472,-0.0809341475964378
0059387-A,CatBoost,0.07495183377780776,0.27377332554105366,0.07526340691892851,-0.08038679319362552
0312004-F,Linear Regression,382.10574851667945,19.5475253808936,17.865540157642567,-9.09880349369865
0312004-F,Ridge,380.6514064426514,19.510289758039253,17.859898943500234,-9.060366189692514
0312004-F,Lasso,375.04473903965464,19.366071853622113,17.837411776827572,-8.912185659624098
0312004-F,Elastic Net,363.58837931260433,19.067993583820094,17.787023005923682,-8.609401610743049
0312004-F,SVR,127.33938185934605,11.284475258484377,9.956658798880593,-2.3654960685587683
0312004-F,Decision Tree,586.375,24.215181188667575,18.142857142857142,-14.497505393743259
0312004-F,Random Forest,588.5428877172214,24.259902879385596,18.389267006802722,-14.55480123955979
0312004-F,Gradient Boosting,586.1181200366199,24.209876497756444,18.14282424828309,-14.49071622534756
0312004-F,XGBoost,586.3616125061626,24.214904759386574,18.142846200586064,-14.4971515710906
0312004-F,CatBoost,586.3656107447665,24.214987316634435,18.14283478626177,-14.497257241905912
85669NP-X,Linear Regression,62.61567605232386,7.913006764329465,6.850448972180533,-5.439959844697697
