,date,sales,sales_diff
250,2023-10-24 07:31:13,35,23.0
251,2023-10-24 07:31:14,200,165.0
252,2023-10-24 07:32:51,100,-100.0
253,2023-10-24 07:50:45,100,0.0
254,2023-10-24 08:03:22,100,0.0
255,2023-10-24 08:17:09,100,0.0
256,2023-10-24 08:20:28,100,0.0
257,2023-10-24 08:57:27,100,0.0
199,2023-10-24 10:04:25,100,0.0
200,2023-10-24 10:12:16,100,0.0
201,2023-10-24 10:24:54,100,0.0
202,2023-10-24 10:43:30,100,0.0
203,2023-10-24 10:43:33,100,0.0
204,2023-10-24 10:45:33,100,0.0
205,2023-10-24 11:15:10,100,0.0
206,2023-10-24 11:47:21,100,0.0
207,2023-10-24 12:31:24,100,0.0
208,2023-10-24 12:41:23,36,-64.0
209,2023-10-24 12:54:29,100,64.0
210,2023-10-24 12:58:07,100,0.0
211,2023-10-24 12:59:38,100,0.0
277,2023-10-25 01:00:42,100,0.0
278,2023-10-25 01:04:33,100,0.0
279,2023-10-25 01:09:31,100,0.0
280,2023-10-25 01:12:00,100,0.0
281,2023-10-25 01:14:54,100,0.0
282,2023-10-25 01:16:58,100,0.0
283,2023-10-25 01:32:04,100,0.0
284,2023-10-25 01:39:48,100,0.0
285,2023-10-25 01:44:55,100,0.0
286,2023-10-25 01:46:41,100,0.0
287,2023-10-25 01:49:59,100,0.0
288,2023-10-25 01:55:05,100,0.0
289,2023-10-25 02:00:21,100,0.0
290,2023-10-25 02:02:18,100,0.0
291,2023-10-25 02:14:02,100,0.0
292,2023-10-25 02:31:57,100,0.0
293,2023-10-25 03:05:41,100,0.0
294,2023-10-25 07:13:59,72,-28.0
295,2023-10-25 07:14:02,56,-16.0
296,2023-10-25 07:14:09,72,16.0
297,2023-10-25 07:14:25,100,28.0
298,2023-10-25 07:20:59,100,0.0
299,2023-10-25 07:53:57,100,0.0
300,2023-10-25 08:00:18,100,0.0
301,2023-10-25 08:21:54,100,0.0
302,2023-10-25 08:32:19,100,0.0
303,2023-10-25 08:32:22,100,0.0
304,2023-10-25 09:04:57,100,0.0
305,2023-10-25 09:05:11,100,0.0
306,2023-10-25 09:49:41,100,0.0
258,2023-10-25 10:09:25,100,0.0
259,2023-10-25 10:17:23,100,0.0
260,2023-10-25 10:18:34,100,0.0
261,2023-10-25 10:27:10,100,0.0
262,2023-10-25 10:29:11,100,0.0
263,2023-10-25 10:49:58,100,0.0
264,2023-10-25 11:08:21,100,0.0
265,2023-10-25 11:24:43,100,0.0
266,2023-10-25 11:24:52,100,0.0
267,2023-10-25 11:26:56,100,0.0
268,2023-10-25 11:28:53,100,0.0
269,2023-10-25 11:30:48,100,0.0
270,2023-10-25 11:32:31,100,0.0
271,2023-10-25 11:32:44,100,0.0
272,2023-10-25 11:52:13,100,0.0
273,2023-10-25 12:40:45,100,0.0
274,2023-10-25 12:43:41,100,0.0
275,2023-10-25 12:49:27,100,0.0
276,2023-10-25 12:57:56,100,0.0
317,2023-10-26 01:29:36,100,0.0
318,2023-10-26 01:55:58,19,-81.0
319,2023-10-26 01:58:54,16,-3.0
320,2023-10-26 02:20:13,55,39.0
321,2023-10-26 02:20:18,64,9.0
