,Sku,Created,Quantity
402,0043121-X,11/1/2023 3:54:07 PM,12
403,0043121-X,11/1/2023 4:26:50 PM,12
404,0043121-X,11/1/2023 4:33:20 PM,12
405,0043121-X,11/1/2023 4:33:47 PM,12
406,0043121-X,11/1/2023 4:36:50 PM,48
407,0043121-X,11/1/2023 4:37:24 PM,12
408,0043121-X,11/1/2023 4:37:42 PM,12
409,0043121-X,11/1/2023 4:41:16 PM,12
410,0043121-X,11/1/2023 4:41:22 PM,24
411,0043121-X,11/1/2023 4:44:25 PM,12
412,0043121-X,11/1/2023 4:46:35 PM,24
413,0043121-X,11/1/2023 4:49:16 PM,12
414,0043121-X,11/1/2023 4:53:46 PM,12
415,0043121-X,11/1/2023 4:55:57 PM,12
416,0043121-X,11/1/2023 4:56:49 PM,24
417,0043121-X,11/1/2023 4:58:15 PM,12
418,0043121-X,11/1/2023 5:01:30 PM,36
419,0043121-X,11/1/2023 5:01:42 PM,12
420,0043121-X,11/1/2023 5:03:12 PM,12
421,0043121-X,11/1/2023 5:04:10 PM,24
422,0043121-X,11/1/2023 5:09:46 PM,12
423,0043121-X,11/1/2023 5:15:30 PM,12
424,0043121-X,11/1/2023 5:28:46 PM,24
425,0043121-X,11/1/2023 6:50:53 PM,12
426,0043121-X,11/1/2023 7:05:37 PM,12
427,0043121-X,11/2/2023 3:19:02 PM,24
428,0043121-X,11/2/2023 3:54:38 PM,12
429,0043121-X,11/2/2023 3:57:40 PM,12
430,0043121-X,11/2/2023 3:58:04 PM,12
431,0043121-X,11/2/2023 4:00:21 PM,12
432,0043121-X,11/2/2023 4:52:40 PM,12
433,0043121-X,11/2/2023 4:58:03 PM,12
434,0043121-X,11/2/2023 5:01:25 PM,12
435,0043121-X,11/2/2023 5:10:50 PM,12
436,0043121-X,11/2/2023 5:13:39 PM,12
437,0043121-X,11/2/2023 5:16:28 PM,12
438,0043121-X,11/2/2023 5:17:51 PM,12
439,0043121-X,11/2/2023 5:20:37 PM,12
440,0043121-X,11/2/2023 5:20:39 PM,12
441,0043121-X,11/2/2023 5:21:26 PM,12
442,0043121-X,11/2/2023 5:22:07 PM,12
443,0043121-X,11/2/2023 5:24:10 PM,12
444,0043121-X,11/2/2023 5:24:12 PM,12
445,0043121-X,11/2/2023 5:26:21 PM,36
446,0043121-X,11/2/2023 5:26:24 PM,12
447,0043121-X,11/2/2023 5:26:26 PM,12
448,0043121-X,11/2/2023 5:26:30 PM,12
449,0043121-X,11/2/2023 5:27:37 PM,12
450,0043121-X,11/2/2023 5:29:14 PM,12
451,0043121-X,11/2/2023 5:30:17 PM,12
452,0043121-X,11/2/2023 5:31:40 PM,24
453,0043121-X,11/2/2023 5:33:25 PM,12
454,0043121-X,11/2/2023 5:34:20 PM,12
455,0043121-X,11/2/2023 5:35:20 PM,24
456,0043121-X,11/2/2023 5:35:35 PM,12
457,0043121-X,11/2/2023 5:37:03 PM,12
458,0043121-X,11/2/2023 5:37:49 PM,12
459,0043121-X,11/2/2023 5:39:15 PM,48
460,0043121-X,11/2/2023 5:39:18 PM,12
461,0043121-X,11/2/2023 5:39:21 PM,12
462,0043121-X,11/2/2023 5:42:51 PM,12
463,0043121-X,11/2/2023 5:42:52 PM,12
464,0043121-X,11/2/2023 5:48:01 PM,12
465,0043121-X,11/2/2023 5:51:43 PM,24
466,0043121-X,11/2/2023 5:51:47 PM,12
467,0043121-X,11/2/2023 5:51:50 PM,12
468,0043121-X,11/2/2023 5:51:59 PM,12
469,0043121-X,11/2/2023 5:52:04 PM,12
470,0043121-X,11/2/2023 5:52:38 PM,24
471,0043121-X,11/2/2023 6:00:17 PM,12
472,0043121-X,11/2/2023 6:00:29 PM,12
473,0043121-X,11/2/2023 6:00:32 PM,12
474,0043121-X,11/2/2023 6:01:22 PM,12
475,0043121-X,11/2/2023 6:03:10 PM,12
476,0043121-X,11/2/2023 6:05:41 PM,12
477,0043121-X,11/2/2023 6:10:22 PM,12
478,0043121-X,11/2/2023 6:12:12 PM,22
479,0043121-X,11/2/2023 6:12:17 PM,2
480,0043121-X,11/2/2023 6:12:25 PM,12
481,0043121-X,11/2/2023 6:15:36 PM,12
482,0043121-X,11/2/2023 6:18:18 PM,12
483,0043121-X,11/2/2023 6:20:24 PM,12
484,0043121-X,11/2/2023 6:22:34 PM,12
485,0043121-X,11/2/2023 6:23:17 PM,12
486,0043121-X,11/2/2023 6:25:32 PM,12
487,0043121-X,11/2/2023 6:25:36 PM,12
488,0043121-X,11/2/2023 6:27:00 PM,12
489,0043121-X,11/2/2023 6:29:27 PM,12
490,0043121-X,11/2/2023 6:30:56 PM,12
491,0043121-X,11/2/2023 6:39:53 PM,12
492,0043121-X,11/2/2023 6:53:08 PM,12
493,0043121-X,11/2/2023 7:00:47 PM,12
494,0043121-X,11/2/2023 7:10:06 PM,12
495,0043121-X,11/2/2023 7:12:49 PM,12
496,0043121-X,11/3/2023 11:14:15 AM,12
497,0043121-X,11/3/2023 11:17:45 AM,12
498,0043121-X,11/3/2023 11:18:02 AM,12
499,0043121-X,11/3/2023 11:25:20 AM,12
500,0043121-X,11/3/2023 11:30:26 AM,12
501,0043121-X,11/3/2023 11:33:09 AM,12
502,0043121-X,11/3/2023 11:35:45 AM,12
503,0043121-X,11/3/2023 11:36:06 AM,12
504,0043121-X,11/3/2023 11:37:06 AM,12
505,0043121-X,11/3/2023 11:41:10 AM,12
506,0043121-X,11/3/2023 11:44:59 AM,12
